Metric,Session,Band,Region,dt_s,n_samples,ACF_tau_1overE_s,ACF_half_life_s,AnchorType,AnchorValue,MeanDwellAbove_s,MeanDwellBelow_s,FracAbove,n_runs_above,n_runs_below
Entropy,MODULATION,Alpha,Central,10.0,176,40.0,30.0,BASELINE_EC_median,5.084626050753301,94.61538461538461,44.166666666666664,0.6988636363636364,13,12
Entropy,MODULATION,Alpha,Frontal,10.0,176,40.0,40.0,BASELINE_EC_median,5.187237661687096,134.0,42.0,0.7613636363636364,10,10
Entropy,MODULATION,Alpha,Occipital,10.0,176,50.0,40.0,BASELINE_EC_median,5.131787071862922,90.76923076923077,44.61538461538461,0.6704545454545454,13,13
Entropy,MODULATION,Alpha,Parietal,10.0,176,60.0,50.0,BASELINE_EC_median,5.075303991702425,130.0,46.0,0.7386363636363636,10,10
Entropy,MODULATION,Alpha,Temporal,10.0,176,40.0,30.0,BASELINE_EC_median,5.264818678357245,58.421052631578945,34.21052631578947,0.6306818181818182,19,19
Entropy,MODULATION,BetaH,Central,10.0,176,40.0,30.0,BASELINE_EC_median,5.302799497696656,85.83333333333333,56.15384615384615,0.5852272727272727,12,13
Entropy,MODULATION,BetaH,Frontal,10.0,176,30.0,30.0,BASELINE_EC_median,5.306884941026234,53.333333333333336,44.44444444444444,0.5454545454545454,18,18
Entropy,MODULATION,BetaH,Occipital,10.0,176,40.0,30.0,BASELINE_EC_median,5.3792281063815075,62.94117647058823,43.125,0.6079545454545454,17,16
Entropy,MODULATION,BetaH,Parietal,10.0,176,40.0,30.0,BASELINE_EC_median,5.365745501537421,83.33333333333333,63.333333333333336,0.5681818181818182,12,12
Entropy,MODULATION,BetaH,Temporal,10.0,176,30.0,20.0,BASELINE_EC_median,5.305702441572311,57.36842105263158,37.22222222222222,0.6193181818181818,19,18
Entropy,MODULATION,BetaL,Central,10.0,176,30.0,30.0,BASELINE_EC_median,5.1548598369134435,110.0,66.0,0.625,10,10
Entropy,MODULATION,BetaL,Frontal,10.0,176,30.0,30.0,BASELINE_EC_median,5.144721055641567,82.14285714285714,43.57142857142857,0.6534090909090909,14,14
Entropy,MODULATION,BetaL,Occipital,10.0,176,50.0,30.0,BASELINE_EC_median,5.2038823545304425,107.27272727272727,48.333333333333336,0.6704545454545454,11,12
Entropy,MODULATION,BetaL,Parietal,10.0,176,40.0,30.0,BASELINE_EC_median,5.197362025771647,76.42857142857143,46.0,0.6079545454545454,14,15
Entropy,MODULATION,BetaL,Temporal,10.0,176,40.0,30.0,BASELINE_EC_median,5.202095075033129,78.0,36.875,0.6647727272727273,15,16
Entropy,MODULATION,Gamma,Central,10.0,176,40.0,30.0,BASELINE_EC_median,5.315239033312585,71.25,38.75,0.6477272727272727,16,16
Entropy,MODULATION,Gamma,Frontal,10.0,176,40.0,30.0,BASELINE_EC_median,5.291582726855372,53.888888888888886,46.470588235294116,0.5511363636363636,18,17
Entropy,MODULATION,Gamma,Occipital,10.0,176,40.0,30.0,BASELINE_EC_median,5.32484337118918,39.5,46.19047619047619,0.44886363636363635,20,21
Entropy,MODULATION,Gamma,Parietal,10.0,176,30.0,20.0,BASELINE_EC_median,5.348167180187472,51.1764705882353,52.35294117647059,0.4943181818181818,17,17
Entropy,MODULATION,Gamma,Temporal,10.0,176,30.0,20.0,BASELINE_EC_median,5.37233254306532,65.625,44.375,0.5965909090909091,16,16
Entropy,MODULATION,Theta,Central,10.0,176,40.0,30.0,BASELINE_EC_median,4.952944465312438,106.66666666666667,40.0,0.7272727272727273,12,12
Entropy,MODULATION,Theta,Frontal,10.0,176,40.0,30.0,BASELINE_EC_median,4.995283635933998,80.0,45.714285714285715,0.6363636363636364,14,14
Entropy,MODULATION,Theta,Occipital,10.0,176,40.0,40.0,BASELINE_EC_median,4.9095527367925325,185.71428571428572,65.71428571428571,0.7386363636363636,7,7
Entropy,MODULATION,Theta,Parietal,10.0,176,30.0,20.0,BASELINE_EC_median,4.867189281980798,106.66666666666667,40.0,0.7272727272727273,12,12
Entropy,MODULATION,Theta,Temporal,10.0,176,30.0,30.0,BASELINE_EC_median,4.95385242095127,56.470588235294116,47.05882352941177,0.5454545454545454,17,17
